,age,body_type,diet,drinks,drugs,height,income,job,orientation,sex,sign,smokes,status,diet_modifier,education_status,education_institution,ethnicities_indian,ethnicities_native_american,ethnicities_middle_eastern,ethnicities_asian,ethnicities_white,ethnicities_black,ethnicities_other,ethnicities_pacific_islander,ethnicities_hispanic_/_latin,offspring_status,offspring_future,pets_cats,pets_dogs,religion_type,religion_modifier,sign_modifier,speaks_english,speaks_spanish,speaks_french,speaks_c++,speaks_chinese,speaks_japanese,speaks_german,speaks_italian
13567,27,athletic,anything,rarely,never,72.0,40000.0,executive / management,straight,m,cancer,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,has a kid,might want,likes cats,likes dogs,catholicism,somewhat serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
13580,23,average,anything,socially,sometimes,64.0,30000.0,construction / craftsmanship,straight,f,gemini,sometimes,single,strictly,working on,two-year college,0,1,0,0,1,1,0,0,0,doesn't have kids,might want,likes cats,has dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
13584,23,athletic,anything,socially,never,70.0,50000.0,construction / craftsmanship,straight,m,aries,sometimes,single,mostly,dropped out of,college/university,0,0,0,0,0,1,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
13729,39,average,vegetarian,rarely,never,67.0,50000.0,education / academia,straight,f,sagittarius,no,available,mostly,dropped out of,masters program,0,0,0,1,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,buddhism,laughing about it,but it doesn't matter,1,0,0,0,1,0,0,0
13779,28,average,anything,socially,never,63.0,70000.0,banking / financial / real estate,straight,f,pisces,no,single,mostly,working on,space camp,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
13799,21,curvy,anything,rarely,sometimes,65.0,20000.0,student,bisexual,f,pisces,sometimes,single,mostly,working on,two-year college,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
13806,22,average,anything,not at all,never,72.0,30000.0,computer / hardware / software,straight,m,leo,no,single,mostly,working on,two-year college,0,0,0,0,0,1,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
13832,21,skinny,anything,socially,never,67.0,20000.0,student,bisexual,m,gemini,no,single,mostly,graduated from,two-year college,0,0,0,1,0,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,1,1,0,0,0
14122,26,thin,anything,socially,never,66.0,20000.0,artistic / musical / writer,straight,f,gemini,no,single,mostly,working on,masters program,1,1,1,0,1,1,0,0,1,doesn't have kids,doesn't want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,0,1,0,0
14162,51,average,anything,socially,never,64.0,50000.0,executive / management,gay,f,leo,no,single,mostly,graduated from,two-year college,0,0,0,0,0,0,0,0,1,doesn't have kids,might want,likes cats,likes dogs,catholicism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
14222,32,fit,vegan,not at all,never,74.0,20000.0,hospitality / travel,straight,m,capricorn,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
14237,34,athletic,anything,socially,never,70.0,500000.0,computer / hardware / software,straight,m,pisces,no,single,mostly,graduated from,ph.d program,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,1,1,0,0,0
14287,49,athletic,anything,socially,never,71.0,500000.0,executive / management,straight,m,virgo,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,has kids,might want,likes cats,likes dogs,judaism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
14324,20,full figured,anything,socially,never,66.0,20000.0,student,straight,f,taurus,sometimes,single,mostly,working on,college/university,0,1,0,0,0,1,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,very serious about it,but it doesn't matter,1,0,1,0,0,0,0,0
14367,22,a little extra,anything,socially,never,68.0,20000.0,other,straight,m,pisces,no,single,no specified diet modifier,no specified educational status,high school,0,0,0,0,0,0,0,0,1,has a kid,might want,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
14373,28,average,anything,socially,never,71.0,80000.0,sales / marketing / biz dev,straight,m,sagittarius,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,catholicism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
14488,20,thin,anything,very often,never,69.0,20000.0,sales / marketing / biz dev,straight,f,cancer,yes,seeing someone,strictly,working on,college/university,0,0,0,0,1,0,0,0,1,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,laughing about it,and it matters a lot,1,1,0,0,0,0,0,0
14541,23,thin,anything,rarely,never,74.0,100000.0,computer / hardware / software,straight,m,sagittarius,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,1,0,0,0,0,0,0
14719,36,average,other,socially,never,67.0,30000.0,science / tech / engineering,straight,m,leo,no,single,no specified diet modifier,graduated from,masters program,0,0,0,1,0,0,0,1,0,doesn't have kids,might want,likes cats,likes dogs,christianity,somewhat serious about it,and it's fun to think about,1,1,0,0,1,0,0,0
14750,22,a little extra,anything,socially,never,64.0,1000000.0,unemployed,straight,f,sagittarius,no,seeing someone,mostly,dropped out of,space camp,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,atheism,very serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
14916,57,fit,anything,socially,never,69.0,100000.0,construction / craftsmanship,straight,m,aries,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,has kids,doesn't want,likes cats,likes dogs,other,somewhat serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
14931,24,fit,kosher,often,often,72.0,1000000.0,artistic / musical / writer,straight,m,aquarius,when drinking,single,mostly,graduated from,college/university,0,0,0,0,0,0,0,0,1,doesn't have kids,doesn't want,likes cats,has dogs,other,very serious about it,but it doesn't matter,1,1,0,0,0,0,0,1
15024,31,athletic,anything,socially,never,70.0,100000.0,artistic / musical / writer,straight,m,aries,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
15086,41,fit,anything,socially,never,63.0,150000.0,executive / management,straight,f,sagittarius,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,catholicism,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
15226,55,fit,anything,rarely,never,66.0,80000.0,medicine / health,straight,f,capricorn,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,has a kid,doesn't want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,1,1,0,0,0,1,0
15242,59,average,anything,socially,never,72.0,100000.0,banking / financial / real estate,straight,m,virgo,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,has kids,doesn't want,likes cats,likes dogs,other,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
15258,49,athletic,vegetarian,socially,never,69.0,30000.0,medicine / health,straight,m,capricorn,no,single,strictly,graduated from,college/university,0,1,1,0,1,1,0,0,0,doesn't have kids,wants,likes cats,likes dogs,buddhism,somewhat serious about it,and it's fun to think about,1,1,1,0,0,0,0,0
15341,25,average,anything,socially,never,66.0,40000.0,sales / marketing / biz dev,straight,f,scorpio,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
15394,47,a little extra,vegetarian,socially,sometimes,70.0,30000.0,entertainment / media,bisexual,m,leo,no,single,strictly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
15797,29,athletic,anything,socially,never,74.0,150000.0,banking / financial / real estate,straight,m,scorpio,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,0,0,0,1,0,1,0
15889,30,average,vegetarian,not at all,never,72.0,20000.0,student,straight,m,sagittarius,trying to quit,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
16082,28,fit,vegetarian,socially,never,69.0,30000.0,education / academia,straight,f,scorpio,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,judaism,somewhat serious about it,and it matters a lot,1,1,1,0,0,0,0,0
16175,33,a little extra,anything,socially,never,70.0,150000.0,science / tech / engineering,straight,m,scorpio,no,single,mostly,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
16237,19,fit,anything,socially,sometimes,72.0,20000.0,science / tech / engineering,straight,m,cancer,trying to quit,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
16242,33,skinny,anything,often,never,69.0,80000.0,sales / marketing / biz dev,straight,m,taurus,sometimes,single,strictly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,0,1,0,0,0,0
16405,48,fit,anything,socially,never,71.0,50000.0,other,straight,m,cancer,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,agnosticism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
16411,30,a little extra,anything,socially,never,73.0,40000.0,sales / marketing / biz dev,straight,m,gemini,sometimes,single,mostly,graduated from,two-year college,0,1,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
16602,44,average,anything,often,sometimes,68.0,100000.0,medicine / health,straight,m,cancer,trying to quit,available,mostly,graduated from,two-year college,0,0,0,0,1,0,0,0,0,has kids,doesn't want,likes cats,likes dogs,catholicism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
16649,42,average,vegan,socially,sometimes,70.0,100000.0,political / government,straight,m,taurus,no,single,mostly,graduated from,masters program,0,1,0,0,1,0,0,0,1,doesn't have kids,doesn't want,likes cats,likes dogs,buddhism,somewhat serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
16856,43,thin,anything,often,sometimes,72.0,80000.0,medicine / health,straight,f,aries,no,single,mostly,graduated from,ph.d program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
16968,23,average,anything,socially,never,63.0,20000.0,education / academia,straight,f,cancer,no,single,mostly,graduated from,college/university,0,0,0,0,0,0,0,0,1,doesn't have kids,wants,likes cats,has dogs,christianity,somewhat serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
17018,17,fit,anything,socially,sometimes,64.0,20000.0,student,straight,f,virgo,when drinking,single,mostly,working on,two-year college,0,1,0,0,1,1,1,0,0,doesn't have kids,might want,has cats,likes dogs,buddhism,not too serious about it,and it's fun to think about,1,0,1,0,0,0,0,0
17075,17,fit,other,not at all,never,61.0,20000.0,student,straight,f,scorpio,sometimes,single,mostly,no specified educational status,high school,0,0,0,0,1,0,1,1,1,doesn't have kids,wants,has cats,has dogs,christianity,somewhat serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
17107,25,fit,anything,socially,sometimes,71.0,30000.0,sales / marketing / biz dev,straight,m,gemini,when drinking,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,0,1,0,0,0,1,0
17320,27,athletic,vegetarian,socially,never,72.0,40000.0,hospitality / travel,straight,m,pisces,no,single,mostly,working on,college/university,0,0,0,0,1,0,1,0,0,doesn't have kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,1,0,0,0,0,0
17342,26,curvy,anything,socially,sometimes,67.0,20000.0,clerical / administrative,bisexual,f,gemini,no,available,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
17376,30,average,anything,socially,never,67.0,40000.0,hospitality / travel,straight,m,cancer,sometimes,single,mostly,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,laughing about it,no specified sign modifier,1,0,0,0,0,0,0,0
17377,27,fit,anything,socially,never,67.0,40000.0,other,straight,m,libra,no,single,no specified diet modifier,working on,two-year college,0,0,0,0,0,0,1,0,0,doesn't have kids,might want,likes cats,likes dogs,catholicism,not too serious about it,no specified sign modifier,1,0,0,0,0,0,0,0
17483,26,skinny,anything,rarely,never,61.0,20000.0,medicine / health,straight,f,pisces,no,seeing someone,strictly,working on,college/university,0,1,0,1,1,0,1,0,1,doesn't have kids,might want,has cats,likes dogs,other,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
17607,27,athletic,anything,socially,sometimes,68.0,20000.0,unemployed,straight,m,pisces,yes,single,strictly,working on,college/university,0,0,1,0,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,1,0,1,0,0,0,0
17712,37,athletic,anything,socially,never,68.0,70000.0,construction / craftsmanship,straight,m,scorpio,no,single,mostly,graduated from,college/university,0,1,0,0,1,0,1,0,0,doesn't have kids,might want,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,1,0,0,0,1,0,1
17762,35,fit,vegan,socially,never,65.0,20000.0,student,straight,f,aries,no,single,strictly,working on,ph.d program,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,buddhism,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
17960,43,average,anything,socially,never,74.0,60000.0,sales / marketing / biz dev,straight,m,pisces,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,has a kid,might want,likes cats,likes dogs,agnosticism,laughing about it,but it doesn't matter,1,1,0,0,0,0,0,0
17975,33,fit,anything,rarely,never,66.0,50000.0,transportation,straight,m,scorpio,no,single,mostly,graduated from,college/university,0,0,0,0,0,0,1,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,other,very serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
18120,27,a little extra,anything,socially,never,71.0,40000.0,computer / hardware / software,straight,m,scorpio,no,seeing someone,mostly,working on,space camp,0,0,0,0,0,0,0,0,1,doesn't have kids,might want,likes cats,likes dogs,agnosticism,laughing about it,and it's fun to think about,1,1,1,0,0,1,0,0
18198,25,athletic,kosher,not at all,never,67.0,30000.0,student,straight,m,gemini,no,single,mostly,working on,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
18232,46,a little extra,other,not at all,never,70.0,1000000.0,law / legal services,straight,m,taurus,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
18233,42,athletic,anything,socially,never,70.0,80000.0,military,straight,m,taurus,no,single,mostly,graduated from,college/university,0,0,0,0,0,0,1,0,0,has a kid,might want,likes cats,likes dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,1
18240,46,fit,anything,often,never,71.0,100000.0,political / government,straight,f,sagittarius,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,laughing about it,and it's fun to think about,1,0,0,0,0,0,1,0
18321,48,average,anything,very often,never,70.0,100000.0,other,straight,m,taurus,no,single,mostly,graduated from,high school,0,0,0,0,1,0,0,0,0,has a kid,doesn't want,likes cats,has dogs,christianity,somewhat serious about it,and it matters a lot,1,0,0,0,0,0,0,0
18393,31,fit,anything,socially,often,68.0,30000.0,medicine / health,straight,f,capricorn,when drinking,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,other,very serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
18406,28,full figured,anything,socially,sometimes,78.0,20000.0,student,straight,m,virgo,no,seeing someone,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,christianity,laughing about it,but it doesn't matter,1,1,0,0,0,0,1,0
18450,24,a little extra,anything,socially,never,69.0,30000.0,computer / hardware / software,straight,m,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,catholicism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
18498,26,curvy,anything,socially,never,69.0,20000.0,sales / marketing / biz dev,straight,f,taurus,no,seeing someone,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
18504,18,athletic,anything,socially,sometimes,82.0,20000.0,student,straight,m,virgo,sometimes,single,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,0,0,1,0
18509,30,curvy,anything,not at all,never,67.0,20000.0,student,straight,f,aries,no,available,no specified diet modifier,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,agnosticism,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
18518,32,a little extra,anything,socially,never,69.0,20000.0,other,straight,m,cancer,no,single,mostly,graduated from,high school,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,buddhism,somewhat serious about it,and it's fun to think about,1,0,0,0,1,0,0,0
18600,47,average,anything,rarely,never,66.0,100000.0,banking / financial / real estate,straight,f,aries,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,other,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
18657,25,thin,anything,often,sometimes,64.0,20000.0,artistic / musical / writer,straight,m,virgo,yes,single,mostly,dropped out of,two-year college,0,0,0,0,1,0,0,0,1,doesn't have kids,doesn't want,likes cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
18698,28,fit,anything,often,never,73.0,60000.0,science / tech / engineering,straight,m,capricorn,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,1,doesn't have kids,doesn't want,likes cats,likes dogs,atheism,laughing about it,but it doesn't matter,1,0,0,0,0,0,0,0
18699,37,fit,vegetarian,rarely,never,64.0,100000.0,medicine / health,straight,f,capricorn,no,single,strictly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,has cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
18803,28,thin,anything,often,sometimes,71.0,80000.0,artistic / musical / writer,straight,m,leo,yes,single,mostly,dropped out of,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,and it matters a lot,1,0,0,0,0,0,0,0
18871,21,average,anything,socially,sometimes,72.0,1000000.0,student,straight,m,leo,no,single,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,somewhat serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
18934,22,used up,other,desperately,sometimes,66.0,20000.0,student,gay,f,capricorn,yes,single,strictly,dropped out of,space camp,0,0,0,0,1,0,0,0,0,doesn't have kids,doesn't want,likes cats,likes dogs,other,laughing about it,but it doesn't matter,1,1,0,0,0,0,0,0
19031,24,athletic,anything,socially,sometimes,70.0,50000.0,banking / financial / real estate,straight,m,cancer,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,atheism,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
19072,31,a little extra,anything,socially,never,69.0,30000.0,hospitality / travel,straight,m,taurus,no,single,mostly,no specified educational status,two-year college,0,0,0,0,1,0,0,0,0,has a kid,might want,likes cats,likes dogs,other,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
19084,48,average,anything,rarely,never,74.0,100000.0,executive / management,straight,m,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
19132,17,used up,anything,not at all,never,66.0,50000.0,entertainment / media,straight,f,gemini,no,single,mostly,dropped out of,two-year college,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,very serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
19168,33,average,anything,not at all,never,71.0,50000.0,construction / craftsmanship,straight,m,virgo,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
19277,40,average,other,not at all,never,72.0,150000.0,science / tech / engineering,straight,m,pisces,no,single,strictly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,other,very serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
19351,27,fit,anything,socially,never,70.0,80000.0,science / tech / engineering,straight,m,leo,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
19364,27,a little extra,anything,rarely,never,71.0,20000.0,student,straight,m,leo,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,other,very serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
19404,31,athletic,anything,socially,never,69.0,150000.0,banking / financial / real estate,straight,m,leo,no,single,no specified diet modifier,graduated from,college/university,0,1,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,has dogs,christianity,not too serious about it,and it's fun to think about,1,1,0,0,0,0,0,0
19513,21,athletic,anything,not at all,never,74.0,20000.0,other,straight,m,gemini,no,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,1,1,0,0,0,0,1
19548,37,average,anything,socially,sometimes,71.0,20000.0,construction / craftsmanship,straight,m,scorpio,no,single,strictly,graduated from,college/university,0,0,0,0,0,0,1,0,0,doesn't have kids,might want,likes cats,has dogs,other,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
19554,27,average,anything,rarely,sometimes,66.0,20000.0,artistic / musical / writer,straight,m,gemini,no,single,mostly,dropped out of,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,likes dogs,atheism,somewhat serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
19572,32,average,anything,not at all,never,64.0,20000.0,entertainment / media,straight,m,taurus,no,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,might want,likes cats,has dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,1,1,0,0
19619,42,athletic,anything,socially,never,68.0,60000.0,political / government,straight,m,cancer,no,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,has cats,likes dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
19714,18,athletic,anything,socially,never,69.0,20000.0,student,straight,m,libra,no,single,mostly,graduated from,high school,0,0,0,0,1,0,0,0,1,doesn't have kids,might want,likes cats,has dogs,other,laughing about it,and it's fun to think about,1,0,0,0,0,0,0,0
19832,32,athletic,anything,socially,never,70.0,100000.0,other,straight,m,aquarius,sometimes,single,mostly,graduated from,college/university,0,0,0,1,0,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,catholicism,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
19913,32,average,other,not at all,never,68.0,20000.0,political / government,straight,m,libra,trying to quit,single,mostly,graduated from,high school,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,agnosticism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
19917,56,a little extra,anything,socially,never,72.0,100000.0,executive / management,straight,m,scorpio,no,single,mostly,graduated from,masters program,0,0,0,0,1,0,0,0,0,has kids,doesn't want,likes cats,has dogs,christianity,somewhat serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
19931,27,athletic,anything,socially,never,65.0,50000.0,transportation,straight,m,pisces,no,single,no specified diet modifier,graduated from,high school,0,0,0,0,0,0,1,0,1,has a kid,wants,likes cats,has dogs,catholicism,somewhat serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
20040,20,average,anything,not at all,never,66.0,20000.0,other,straight,f,libra,no,single,mostly,graduated from,high school,0,0,0,0,1,0,0,1,0,doesn't have kids,wants,likes cats,has dogs,christianity,not too serious about it,and it's fun to think about,1,0,0,0,0,0,0,0
20129,34,thin,anything,socially,sometimes,72.0,60000.0,banking / financial / real estate,straight,m,capricorn,trying to quit,single,mostly,graduated from,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,might want,likes cats,likes dogs,atheism,not too serious about it,but it doesn't matter,1,1,0,0,0,0,0,0
20146,19,athletic,anything,not at all,never,67.0,20000.0,artistic / musical / writer,straight,m,pisces,no,single,mostly,working on,two-year college,0,0,0,0,0,0,0,0,1,doesn't have kids,might want,likes cats,likes dogs,catholicism,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
20271,19,curvy,anything,socially,sometimes,66.0,20000.0,artistic / musical / writer,straight,f,pisces,yes,single,mostly,working on,college/university,0,0,0,0,0,0,0,0,1,doesn't have kids,doesn't want,likes cats,likes dogs,agnosticism,laughing about it,and it's fun to think about,1,1,0,0,0,0,0,0
20298,27,average,anything,not at all,never,70.0,30000.0,sales / marketing / biz dev,gay,m,aquarius,trying to quit,single,mostly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,agnosticism,laughing about it,and it's fun to think about,1,0,0,0,0,0,1,0
20351,28,a little extra,anything,rarely,never,67.0,20000.0,student,straight,m,cancer,no,single,strictly,working on,college/university,0,0,0,0,1,0,0,0,0,doesn't have kids,wants,likes cats,has dogs,christianity,not too serious about it,but it doesn't matter,1,0,0,0,0,1,0,0
20393,33,athletic,anything,socially,never,68.0,60000.0,computer / hardware / software,straight,m,gemini,trying to quit,single,mostly,graduated from,college/university,0,0,0,0,0,0,0,1,0,doesn't have kids,doesn't want,likes cats,likes dogs,other,not too serious about it,but it doesn't matter,1,0,0,0,0,0,0,0
